4.9 1:17 2:603.0 3:57377881 4:5.0909090909 5:292587.1763 6:0.142857142857 7:603.545612704
6.8 1:47 2:709.0 3:103739465 4:4.4 5:131393.5435 6:0.111111111111 7:1105.11668373
4.9 1:126 2:937.0 3:147152116 4:5.625 5:951427.8862 6:0.0714285714286 7:202.837567948
0 1:0 2:231.0 3:0 4:0 5:53075.5 6:0.2 7:1063.81718918
0 1:0 2:0 3:0 4:0 5:2064.0 6:0.0 7:0.242764443159
0 1:2 2:526.0 3:0 4:0 5:79557.6571 6:0.25 7:81.1240221133
4.7 1:13 2:668.0 3:43154093 4:5.6 5:649740.5551 6:0.142857142857 7:2910.99639306
5.0 1:7 2:478.0 3:112377120 4:3.0 5:131752.8464 6:0.142857142857 7:3907.67447014
7.7 1:81 2:1164.0 3:185692516 4:6.0 5:373196.5506 6:0.0588235294118 7:1228.782294
7.2 1:15 2:514.0 3:110672405 4:12.0 5:478459.0649 6:0.2 7:649.387129149
4.7 1:31 2:461.0 3:7985862 4:6.4 5:353459.925 6:0.142857142857 7:947.256654315
6.5 1:3 2:809.0 3:44355153 4:6.0 5:517425.3619 6:0.111111111111 7:51.0450759586
0 1:22 2:396.0 3:0 4:0 5:44582.4524 6:0.0 7:-7.75056797938
0 1:1 2:556.0 3:0 4:0 5:154737.721 6:0.2 7:261.350323053
4.0 1:2 2:651.0 3:81895255 4:5.6 5:247397.6293 6:0.111111111111 7:4012.0974349
6.5 1:5 2:1070.0 3:106168005 4:9.75 5:545461.7909 6:0.1 7:1099.17015239
5.5 1:86 2:764.0 3:98789218 4:4.875 5:696881.3579 6:0.142857142857 7:1886.12643655
8.4 1:19 2:460.0 3:0 4:3.2 5:136937.4 6:0.25 7:6814.10967409
7.6 1:7 2:253.0 3:24722870 4:3.75 5:249902.5477 6:0.25 7:3286.97550159
5.7 1:41 2:871.0 3:60209679 4:6.75 5:1262061.0305 6:0.125 7:3477.88802904
0 1:0 2:151.0 3:0 4:0 5:4756.5 6:0.0 7:165.453797407
3.5 1:34 2:402.0 3:12811004 4:1.875 5:90599.6982 6:0.166666666667 7:-267.845306711
5.3 1:16 2:773.0 3:131217387 4:7.6 5:958360.1668 6:0.125 7:2988.56501216
2.9 1:103 2:964.0 3:281213433 4:7.5 5:399605.805 6:0.0769230769231 7:306.560105535
6.8 1:0 2:257.0 3:48254634 4:2.4 5:105130.0833 6:0.2 7:318.987591786
0 1:0 2:0 3:0 4:2.5 5:6907.5 6:0.0 7:11.3192633707
4.2 1:11 2:441.0 3:39649122 4:3.6 5:136268.2238 6:0.2 7:-36.2819840763
0.0 1:7 2:462.0 3:63875340 4:3.6 5:256414.9364 6:0.0 7:3913.24367497
